file_path,feature_path,text,emotion,raw_emotion,dialogue_id,utterance_id,split,dataset
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia0_utt10.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia0_utt10.npy,No dont I beg of you!,fear,fear,0,10,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia0_utt11.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia0_utt11.npy,"All right then, well have a definite answer for you on Monday, but I think I can say with some confidence, youll fit in well here.",neutral,neutral,0,11,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia0_utt12.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia0_utt12.npy,Really?!,surprise,surprise,0,12,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia0_utt13.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia0_utt13.npy,Absolutely. You can relax,neutral,neutral,0,13,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia1_utt0.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia1_utt0.npy,But then who? The waitress I went out with last month?,surprise,surprise,1,0,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia1_utt1.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia1_utt1.npy,You know? Forget it!,sadness,sadness,1,1,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia1_utt2.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia1_utt2.npy,"No-no-no-no, no! Who, who were you talking about?",surprise,surprise,1,2,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia1_utt3.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia1_utt3.npy,"No, I-I-I-I don't, I actually don't know",fear,fear,1,3,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia1_utt4.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia1_utt4.npy,Ok!,neutral,neutral,1,4,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia1_utt5.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia1_utt5.npy,"All right, well...",neutral,neutral,1,5,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia1_utt8.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia1_utt8.npy,"Yeah, sure!",neutral,neutral,1,8,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia2_utt0.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia2_utt0.npy,"Hey, Mon.",neutral,neutral,2,0,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia2_utt1.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia2_utt1.npy,Hey-hey-hey. You wanna hear something that sucks.,neutral,neutral,2,1,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia2_utt2.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia2_utt2.npy,Do I ever.,happiness,joy,2,2,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia2_utt3.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia2_utt3.npy,Chris says theyre closing down the bar.,sadness,sadness,2,3,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia2_utt4.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia2_utt4.npy,No way!,surprise,surprise,2,4,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia2_utt5.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia2_utt5.npy,"Yeah, apparently theyre turning it into some kinda coffee place.",neutral,neutral,2,5,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia2_utt6.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia2_utt6.npy,Just coffee! Where are we gonna hang out now?,disgust,disgust,2,6,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia2_utt7.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia2_utt7.npy,Got me.,sadness,sadness,2,7,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia2_utt8.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia2_utt8.npy,Can I get a beer.,neutral,neutral,2,8,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia2_utt9.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia2_utt9.npy,"Hey, did you pick a roommate?",neutral,neutral,2,9,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia2_utt10.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia2_utt10.npy,You betcha!,happiness,joy,2,10,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia2_utt11.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia2_utt11.npy,Is it the Italian guy?,neutral,neutral,2,11,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia2_utt12.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia2_utt12.npy,"Um-mm, yeah right!",happiness,joy,2,12,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia3_utt0.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia3_utt0.npy,"Oh my God, oh my God! Poor Monica!",surprise,surprise,3,0,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia3_utt1.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia3_utt1.npy,"What, what, what?!",surprise,surprise,3,1,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia3_utt2.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia3_utt2.npy,What?!,surprise,surprise,3,2,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia3_utt3.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia3_utt3.npy,He was with her when he wrote this poem.,neutral,neutral,3,3,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia3_utt4.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia3_utt4.npy,"Look, 'My vessel so empty with nothing inside.",neutral,neutral,3,4,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia3_utt5.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia3_utt5.npy,"Now that I've touched you, you seem emptier still.'",neutral,neutral,3,5,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia3_utt6.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia3_utt6.npy,"He thinks Monica is empty, she is the empty vase!",surprise,surprise,3,6,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia3_utt8.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia3_utt8.npy,"Oh, totally. Oh, God, oh, she seemed so happy too.",sadness,sadness,3,8,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia3_utt9.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia3_utt9.npy,Done.,neutral,neutral,3,9,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia4_utt0.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia4_utt0.npy,Hey!,surprise,surprise,4,0,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia4_utt1.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia4_utt1.npy,Hi!,happiness,joy,4,1,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia4_utt2.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia4_utt2.npy,What are you doing here?,surprise,surprise,4,2,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia4_utt3.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia4_utt3.npy,"Ah y'know, this building is on my paper route so I...",neutral,neutral,4,3,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia4_utt4.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia4_utt4.npy,Oh.,neutral,neutral,4,4,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia4_utt5.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia4_utt5.npy,Hi.,neutral,neutral,4,5,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia4_utt6.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia4_utt6.npy,Hi.,neutral,neutral,4,6,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia4_utt7.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia4_utt7.npy,Howd did it go?,neutral,neutral,4,7,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia4_utt8.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia4_utt8.npy,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldnt shut up.",happiness,joy,4,8,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia4_utt9.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia4_utt9.npy,Im so proud of you.,happiness,joy,4,9,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia4_utt10.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia4_utt10.npy,Me too!,happiness,joy,4,10,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia4_utt11.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia4_utt11.npy,"Listen, Im ah, Im sorry Ive been so crazy and jealous and, its just that I like you a lot, so...",sadness,sadness,4,11,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia4_utt12.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia4_utt12.npy,I know.,neutral,neutral,4,12,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia4_utt13.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia4_utt13.npy,Yeah.,neutral,neutral,4,13,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia4_utt14.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia4_utt14.npy,Yeah.,neutral,neutral,4,14,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia5_utt0.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia5_utt0.npy,Ameri-can.,neutral,neutral,5,0,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia5_utt1.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia5_utt1.npy,Ameri-ccan.,neutral,neutral,5,1,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia5_utt2.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia5_utt2.npy,Ameri-can. Y'know its a,neutral,neutral,5,2,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia5_utt3.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia5_utt3.npy,Everybody!!,surprise,surprise,5,3,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia6_utt0.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia6_utt0.npy,Good job Joe! Well done! Top notch!,happiness,joy,6,0,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia6_utt1.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia6_utt1.npy,You liked it? You really liked it?,surprise,surprise,6,1,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia6_utt2.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia6_utt2.npy,"Oh-ho-ho, yeah!",happiness,joy,6,2,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia6_utt3.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia6_utt3.npy,Which part exactly?,neutral,neutral,6,3,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia6_utt4.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia6_utt4.npy,The whole thing! Can we go?,neutral,neutral,6,4,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia6_utt5.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia6_utt5.npy,"Oh no-no-no, give me some specifics.",anger,anger,6,5,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia6_utt6.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia6_utt6.npy,"I love the specifics, the specifics were the best part!",happiness,joy,6,6,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia6_utt7.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia6_utt7.npy,"Hey, what about the scene with the kangaroo? Did-did you like that part?",neutral,neutral,6,7,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia6_utt8.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia6_utt8.npy,I was surprised to see a kangaroo in a World War I epic.,surprise,surprise,6,8,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia6_utt9.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia6_utt9.npy,You fell asleep!!,anger,anger,6,9,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia6_utt10.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia6_utt10.npy,There was no kangaroo!,anger,anger,6,10,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia6_utt11.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia6_utt11.npy,They didnt take any of my suggestions!,anger,anger,6,11,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia6_utt12.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia6_utt12.npy,Thats for coming buddy.,neutral,neutral,6,12,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia6_utt13.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia6_utt13.npy,Ill see you later.,neutral,neutral,6,13,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia6_utt14.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia6_utt14.npy,Dont go!,sadness,sadness,6,14,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia6_utt15.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia6_utt15.npy,Im sorry.,sadness,sadness,6,15,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia6_utt16.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia6_utt16.npy,Im so sorry!,sadness,sadness,6,16,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia6_utt17.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia6_utt17.npy,Look!,surprise,surprise,6,17,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia6_utt18.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia6_utt18.npy,This guy fell asleep!,anger,anger,6,18,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia6_utt19.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia6_utt19.npy,He fell asleep too!,anger,anger,6,19,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia6_utt20.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia6_utt20.npy,Be mad at him!,anger,anger,6,20,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia6_utt21.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia6_utt21.npy,"Or, call an ambulance.",anger,anger,6,21,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia7_utt0.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia7_utt0.npy,"Okay, look, I think we have to tell Rachel she messed up her dessert.",neutral,neutral,7,0,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia7_utt1.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia7_utt1.npy,"What?! What is with everybody? Its Thanksgiving, not...Truth-Day!",anger,anger,7,1,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia8_utt0.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia8_utt0.npy,"Yes, and it is my dying wish to have that ring.",neutral,neutral,8,0,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia8_utt1.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia8_utt1.npy,"See, if Im not buried with that ring then my spirit is going to wander the nether world for all eternity",neutral,neutral,8,1,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia8_utt2.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia8_utt2.npy,"Okay, thats enough honey!",neutral,neutral,8,2,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia8_utt3.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia8_utt3.npy,I dont know. Let me see the ring.,neutral,neutral,8,3,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia8_utt4.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia8_utt4.npy,"Great! Okay, here.",happiness,joy,8,4,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia8_utt5.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia8_utt5.npy,All right.,neutral,neutral,8,5,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia8_utt6.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia8_utt6.npy,Thank you. Thank you. Thank you! And,happiness,joy,8,6,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia9_utt0.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia9_utt0.npy,What've you been up to?,neutral,neutral,9,0,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia9_utt1.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia9_utt1.npy,"Oh, you know, the usual, teaching aerobics, partying way too much.",neutral,neutral,9,1,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia9_utt2.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia9_utt2.npy,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.",neutral,neutral,9,2,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia9_utt3.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia9_utt3.npy,Can you hold on a moment? I have another call. I love her.,happiness,joy,9,3,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia9_utt4.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia9_utt4.npy,I know.,neutral,neutral,9,4,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia9_utt5.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia9_utt5.npy,I'm back.,neutral,neutral,9,5,train,MELD
D:\Savio Shaju\Multimodal Emotion Recognition\dataset1\train\train_splits\dia9_utt6.mp4,D:\Savio Shaju\Multimodal Emotion Recognition\models\fusion_pipeline_MELD\processed_data\train_dia9_utt6.npy,"So, are we gonna get together or what?",neutral,neutral,9,6,train,MELD
